location,population,HighestInfectionCount,PopulationInfectedRate
Cyprus,896007,660854,73.76
San Marino,33690,24298,72.12
Brunei,449002,307686,68.53
Austria,8939617,6078070,67.99
Faeroe Islands,53117,34658,65.25
Slovenia,2119843,1344388,63.42
Gibraltar,32677,20550,62.89
Martinique,367512,229975,62.58
South Korea,51815808,31782676,61.34
Andorra,79843,48015,60.14
Jersey,110796,66391,59.92
Greece,10384972,6086580,58.61
Saint Pierre and Miquelon,5885,3426,58.22
Denmark,5882259,3413868,58.04
France,67813000,39053413,57.59
Iceland,372903,209191,56.1
Guernsey,63329,35326,55.78
Liechtenstein,39355,21470,54.55
Portugal,10270857,5590047,54.43
Latvia,1850654,977891,52.84
Guadeloupe,395762,202836,51.25
Israel,9449000,4826780,51.08
Reunion,974062,494595,50.78
Falkland Islands,3801,1923,50.59
Switzerland,8740471,4405935,50.41
Saint Barthelemy,10994,5494,49.97
Luxembourg,647601,319959,49.41
Georgia,3744385,1843707,49.24
Netherlands,17564020,8610372,49.02
Lithuania,2750058,1320731,48.03
Seychelles,107135,50937,47.54
Bahrain,1472237,696614,47.32
Estonia,1326064,619029,46.68
Montenegro,627082,291845,46.54
Germany,83369840,38429922,46.1
Monaco,36491,16804,46.05
Cayman Islands,68722,31472,45.8
Isle of Man,84534,38008,44.96
New Zealand,5185289,2306943,44.49
Czechia,10493990,4642281,44.24
Bonaire Sint Eustatius and Saba,27052,11921,44.07
Singapore,5637022,2474308,43.89
Italy,59037472,25870833,43.82
Australia,26177410,11420039,43.63
Nauru,12691,5393,42.49
Cook Islands,17032,7128,41.85
Niue,1952,817,41.85
Aruba,106459,44200,41.52
Belgium,11655923,4799762,41.18
Saint Helena,5401,2166,40.1
Saint Martin (French part),31816,12303,38.67
Marshall Islands,41593,16081,38.66
Puerto Rico,3252412,1252713,38.52
Barbados,281646,107794,38.27
Serbia,6871547,2542363,37
United Kingdom,67508936,24618868,36.47
Maldives,523798,186672,35.64
Ireland,5023108,1712654,34.1
Palau,18084,6009,33.23
Slovakia,5643455,1866857,33.08
French Guiana,304568,98041,32.19
Montserrat,4413,1403,31.79
Croatia,4030361,1273871,31.61
Wallis and Futuna,11596,3550,30.61
United States,338289856,103436829,30.58
Uruguay,3422796,1038774,30.35
Guam,171783,51573,30.02
Mongolia,3398373,1010034,29.72
Bermuda,64207,18860,29.37
Spain,47558632,13890555,29.21
Northern Mariana Islands,49574,13935,28.11
New Caledonia,289959,80064,27.61
Norway,5434324,1485102,27.33
Japan,123951696,33803572,27.27
Chile,19603736,5287596,26.97
Finland,5540745,1480370,26.72
Sweden,10549349,2710429,25.69
French Polynesia,306292,78590,25.66
United States Virgin Islands,99479,25122,25.25
Sint Maarten (Dutch part),44192,11051,25.01
Anguilla,15877,3904,24.59
Tuvalu,11335,2779,24.52
Curacao,191173,45817,23.97
Costa Rica,5180836,1233482,23.81
Mauritius,1299478,306969,23.62
Panama,4408582,1040230,23.6
British Virgin Islands,31332,7305,23.31
Micronesia (country),114178,26458,23.17
Lebanon,5489744,1237556,22.54
Malta,533293,118756,22.27
Hungary,9967304,2202887,22.1
Argentina,45510324,10044957,22.07
Dominica,72758,15760,21.66
Greenland,56494,11971,21.19
Turkey,85341248,17004677,19.93
Bulgaria,6781955,1307926,19.29
Qatar,2695131,513580,19.06
Moldova,3272993,620574,18.96
American Samoa,44295,8331,18.81
Belize,405285,70782,17.46
Brazil,215313504,37601257,17.46
Romania,19659270,3405206,17.32
Saint Lucia,179872,30052,16.71
North Macedonia,2093606,348276,16.64
Poland,39857144,6517237,16.35
Armenia,2780472,449203,16.16
Russia,144713312,22942458,15.85
Tonga,106867,16817,15.74
Grenada,125459,19693,15.7
Kuwait,4268886,665942,15.6
Jordan,11285875,1746997,15.48
Kosovo,1782115,273903,15.37
Malaysia,33938216,5100249,15.03
Turks and Caicos Islands,45726,6588,14.41
Ukraine,39701744,5556030,13.99
Saint Kitts and Nevis,47681,6602,13.85
Palestine,5250076,703228,13.39
Suriname,618046,82513,13.35
Peru,34049588,4507363,13.24
Mayotte,326113,42027,12.89
Botswana,2630300,329938,12.54
Trinidad and Tobago,1531043,191496,12.51
Bosnia and Herzegovina,3233530,402998,12.46
Colombia,51874028,6368934,12.28
Canada,38454328,4681257,12.17
Vietnam,98186856,11615051,11.83
Albania,2842318,334090,11.75
United Arab Emirates,9441138,1067030,11.3
Paraguay,6780745,735759,10.85
Cape Verde,593162,63952,10.78
Belarus,9534956,994037,10.43
Cuba,11212198,1114309,9.94
Bolivia,12224114,1199694,9.81
Antigua and Barbuda,93772,9106,9.71
Tunisia,12356116,1153323,9.33
Bahamas,409989,38084,9.29
Saint Vincent and the Grenadines,103959,9631,9.26
Guyana,808727,73257,9.06
Oman,4576300,399449,8.73
Iran,88550568,7611931,8.6
Pitcairn,47,4,8.51
Azerbaijan,10358078,831862,8.03
